,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Pos,Player,Team,Matches,Innings,Economy,SR,Day,Month
0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,Sunil Narine,Kolkata,5,5,4.85,160.0,14,4
1,1,1.0,1.0,1.0,1.0,1.0,1.0,2,Harshal Patel,Bangalore,4,4,5.5,190.0,14,4
2,2,2.0,2.0,2.0,2.0,2.0,2.0,3,Mustafizur Rahman,Delhi,3,3,5.83,60.0,14,4
3,3,3.0,3.0,3.0,3.0,3.0,3.0,4,Tilak Varma,Mumbai,5,1,6.0,160.2,14,4
4,4,4.0,4.0,4.0,4.0,4.0,4.0,5,Lalit Yadav,Delhi,4,3,6.29,115.62,14,4
5,5,5.0,5.0,5.0,5.0,5.0,5.0,6,David Willey,Bangalore,4,4,6.55,60.0,14,4
6,6,6.0,6.0,6.0,6.0,6.0,6.0,7,Rashid Khan,Gujarat,5,5,6.55,0.0,14,4
7,7,7.0,7.0,7.0,7.0,7.0,7.0,8,Umesh Yadav,Kolkata,5,5,6.6,138.46,14,4
8,8,8.0,8.0,8.0,8.0,8.0,8.0,9,Krishnappa Gowtham,Lucknow,2,2,6.62,0.0,14,4
9,9,9.0,9.0,9.0,9.0,9.0,9.0,10,Yuzvendra Chahal,Rajasthan,5,5,6.8,62.5,14,4
10,10,10.0,10.0,10.0,10.0,10.0,10.0,11,Ravi Bishnoi,Lucknow,5,5,6.9,0.0,14,4
11,11,11.0,11.0,11.0,11.0,11.0,11.0,12,Rasikh Salam,Kolkata,2,2,7.0,116.67,14,4
12,12,12.0,12.0,12.0,12.0,12.0,12.0,13,Tim Southee,Kolkata,2,2,7.0,20.0,14,4
13,13,13.0,13.0,13.0,13.0,13.0,13.0,14,Krunal Pandya,Lucknow,5,4,7.08,151.11,14,4
14,14,14.0,14.0,14.0,14.0,14.0,14.0,15,Marco Jansen,Hyderabad,2,2,7.12,0.0,14,4
15,15,15.0,15.0,15.0,15.0,15.0,15.0,16,Ravichandran Ashwin,Rajasthan,5,5,7.15,115.62,14,4
16,16,16.0,16.0,16.0,16.0,16.0,16.0,17,Khaleel Ahmed,Delhi,3,3,7.17,0.0,14,4
17,17,17.0,17.0,17.0,17.0,17.0,17.0,18,Rahul Chahar,Punjab,5,5,7.25,141.67,14,4
18,18,18.0,18.0,18.0,18.0,18.0,18.0,19,Trent Boult,Rajasthan,4,4,7.25,150.0,14,4
19,19,19.0,19.0,19.0,19.0,19.0,19.0,20,Varun Chakravarthy,Kolkata,5,5,7.3,64.71,14,4
20,20,20.0,20.0,20.0,20.0,20.0,20.0,21,Kuldeep Yadav,Delhi,4,4,7.4,100.0,14,4
21,21,21.0,21.0,21.0,21.0,21.0,21.0,22,Hardik Pandya,Gujarat,5,5,7.57,136.53,14,4
22,22,22.0,22.0,22.0,22.0,22.0,22.0,23,Adam Milne,Chennai,1,1,7.6,0.0,14,4
23,23,23.0,23.0,23.0,23.0,23.0,23.0,24,Dwaine Pretorius,Chennai,2,2,7.62,160.0,14,4
24,24,24.0,24.0,24.0,24.0,24.0,24.0,25,Lockie Ferguson,Gujarat,5,5,7.7,0.0,14,4
25,25,25.0,25.0,25.0,25.0,25.0,0.0,1,Sunil Narine,Kolkata,6,6,5.0,183.33,15,4
26,26,26.0,26.0,26.0,26.0,26.0,1.0,2,Harshal Patel,Bangalore,4,4,5.5,190.0,15,4
27,27,27.0,27.0,27.0,27.0,27.0,2.0,3,Mustafizur Rahman,Delhi,3,3,5.83,60.0,15,4
28,28,28.0,28.0,28.0,28.0,28.0,3.0,4,Tilak Varma,Mumbai,5,1,6.0,160.2,15,4
29,29,29.0,29.0,29.0,29.0,29.0,4.0,5,Lalit Yadav,Delhi,4,3,6.29,115.62,15,4
30,30,30.0,30.0,30.0,30.0,30.0,5.0,6,David Willey,Bangalore,4,4,6.55,60.0,15,4
31,31,31.0,31.0,31.0,31.0,31.0,6.0,7,Rashid Khan,Gujarat,5,5,6.55,0.0,15,4
32,32,32.0,32.0,32.0,32.0,32.0,7.0,8,Krishnappa Gowtham,Lucknow,2,2,6.62,0.0,15,4
33,33,33.0,33.0,33.0,33.0,33.0,8.0,9,Umesh Yadav,Kolkata,6,6,6.79,135.71,15,4
