,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Pos,Player,Team,Matches,Inn,Runs,Fours,Day,Month
0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,Hardik Pandya,Gujarat,5,5,228,26,14,4
1,1,1.0,1.0,1.0,1.0,1.0,1.0,2,Jos Buttler,Rajasthan,5,5,272,23,14,4
2,2,2.0,2.0,2.0,2.0,2.0,2.0,3,Quinton de Kock,Lucknow,5,5,188,21,14,4
3,3,3.0,3.0,3.0,3.0,3.0,3.0,4,Prithvi Shaw,Delhi,4,4,160,21,14,4
4,4,4.0,4.0,4.0,4.0,4.0,4.0,5,Shubman Gill,Gujarat,5,5,200,20,14,4
5,5,5.0,5.0,5.0,5.0,5.0,5.0,6,Ishan Kishan,Mumbai,5,5,178,20,14,4
6,6,6.0,6.0,6.0,6.0,6.0,6.0,7,Shikhar Dhawan,Punjab,5,5,197,19,14,4
7,7,7.0,7.0,7.0,7.0,7.0,7.0,8,Robin Uthappa,Chennai,5,5,194,17,14,4
8,8,8.0,8.0,8.0,8.0,8.0,8.0,9,Shivam Dube,Chennai,5,5,207,16,14,4
9,9,9.0,9.0,9.0,9.0,9.0,9.0,10,Shreyas Iyer,Kolkata,5,5,123,15,14,4
10,10,10.0,10.0,10.0,10.0,10.0,10.0,11,Abhishek Sharma,Hyderabad,4,4,139,14,14,4
11,11,11.0,11.0,11.0,11.0,11.0,11.0,12,Liam Livingstone,Punjab,5,5,164,13,14,4
12,12,12.0,12.0,12.0,12.0,12.0,12.0,13,Deepak Hooda,Lucknow,5,5,155,13,14,4
13,13,13.0,13.0,13.0,13.0,13.0,13.0,14,Dinesh Karthik,Bangalore,5,5,131,13,14,4
14,14,14.0,14.0,14.0,14.0,14.0,14.0,15,Shimron Hetmyer,Rajasthan,5,5,197,12,14,4
