,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Pos,Team,Plyd,Won,Lost,Tied,NRR,Points,Day,Month
0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,Gujarat Titans (GT),5,4,1,0,0.45,8,14,4
1,1,1.0,1.0,1.0,1.0,1.0,1.0,2,Kolkata Knight Riders (KKR),5,3,2,0,0.446,6,14,4
2,2,2.0,2.0,2.0,2.0,2.0,2.0,3,Rajasthan Royals (RR),5,3,2,0,0.389,6,14,4
3,3,3.0,3.0,3.0,3.0,3.0,3.0,4,Punjab Kings (PBKS),5,3,2,0,0.239,6,14,4
4,4,4.0,4.0,4.0,4.0,4.0,4.0,5,Lucknow Super Giants (LSG),5,3,2,0,0.174,6,14,4
5,5,5.0,5.0,5.0,5.0,5.0,5.0,6,Royal Challengers Bangalore (RCB),5,3,2,0,0.006,6,14,4
6,6,6.0,6.0,6.0,6.0,6.0,6.0,7,Delhi Capitals (DC),4,2,2,0,0.476,4,14,4
7,7,7.0,7.0,7.0,7.0,7.0,7.0,8,Sunrisers Hyderabad (SRH),4,2,2,0,-0.501,4,14,4
8,8,8.0,8.0,8.0,8.0,8.0,8.0,9,Chennai Super Kings (CSK),5,1,4,0,-0.745,2,14,4
9,9,9.0,9.0,9.0,9.0,9.0,9.0,10,Mumbai Indians (MI),5,0,5,0,-1.072,0,14,4
10,10,10.0,10.0,10.0,10.0,10.0,0.0,1,Gujarat Titans (GT),5,4,1,0,0.45,8,15,4
11,11,11.0,11.0,11.0,11.0,11.0,1.0,2,Rajasthan Royals (RR),5,3,2,0,0.389,6,15,4
12,12,12.0,12.0,12.0,12.0,12.0,2.0,3,Punjab Kings (PBKS),5,3,2,0,0.239,6,15,4
13,13,13.0,13.0,13.0,13.0,13.0,3.0,4,Kolkata Knight Riders (KKR),6,3,3,0,0.223,6,15,4
