,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Pos,Player,Team,Matches,Wickets,Day,Month
0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,Yuzvendra Chahal,RR,5,12,14,4
1,1,1.0,1.0,1.0,1.0,1.0,1.0,2,Umesh Yadav,KKR,5,10,14,4
2,2,2.0,2.0,2.0,2.0,2.0,2.0,3,Kuldeep Yadav,DC,4,10,14,4
3,3,3.0,3.0,3.0,3.0,3.0,3.0,4,Wanindu Hasaranga,RCB,5,10,14,4
4,4,4.0,4.0,4.0,4.0,4.0,4.0,5,Lockie Ferguson,GT,5,8,14,4
5,5,5.0,5.0,5.0,5.0,5.0,5.0,6,T Natarajan,SRH,4,8,14,4
6,6,6.0,6.0,6.0,6.0,6.0,6.0,7,Avesh Khan,LSG,5,8,14,4
7,7,7.0,7.0,7.0,7.0,7.0,7.0,8,Khaleel Ahmed,DC,3,7,14,4
8,8,8.0,8.0,8.0,8.0,8.0,8.0,9,Trent Boult,RR,4,7,14,4
9,9,9.0,9.0,9.0,9.0,9.0,9.0,10,Rahul Chahar,PBKS,5,7,14,4
10,10,10.0,10.0,10.0,10.0,10.0,10.0,11,Mohammad Shami,GT,5,7,14,4
11,11,11.0,11.0,11.0,11.0,11.0,11.0,12,Dwayne Bravo,CSK,5,7,14,4
12,12,12.0,12.0,12.0,12.0,12.0,0.0,1,Yuzvendra Chahal,RR,5,12,15,4
13,13,13.0,13.0,13.0,13.0,13.0,1.0,2,T Natarajan,SRH,5,11,15,4
14,14,14.0,14.0,14.0,14.0,14.0,2.0,3,Umesh Yadav,KKR,6,10,15,4
15,15,15.0,15.0,15.0,15.0,15.0,3.0,4,Kuldeep Yadav,DC,4,10,15,4
16,16,16.0,16.0,16.0,16.0,16.0,4.0,5,Wanindu Hasaranga,RCB,5,10,15,4
