,Pos,Player,Team,Matches,Innings,Economy,SR,Day,Month
0,1,Sunil Narine,Kolkata,7,7,5.04,183.33,21,4
1,2,Hrithik Shokeen,Mumbai,1,1,5.75,100,21,4
2,3,Lalit Yadav,Delhi,6,4,6.11,110.29,21,4
3,4,Riley Meredith,Mumbai,1,1,6.25,0,21,4
4,5,Tilak Varma,Mumbai,7,2,6.5,140.12,21,4
5,6,David Willey,Bangalore,4,4,6.55,60,21,4
6,7,Krishnappa Gowtham,Lucknow,2,2,6.62,0,21,4
7,8,Rashid Khan,Gujarat,6,6,6.67,173.91,21,4
8,9,Mitchell Santner,Chennai,2,2,6.71,122.22,21,4
9,10,Rasikh Salam,Kolkata,2,2,7,116.67,21,4
10,11,Tim Southee,Kolkata,2,2,7,20,21,4
11,12,Khaleel Ahmed,Delhi,5,5,7.15,0,21,4
12,13,Josh Hazlewood,Bangalore,3,3,7.17,100,21,4
13,14,Krunal Pandya,Lucknow,7,6,7.21,150,21,4
14,15,Harshal Patel,Bangalore,6,6,7.29,172.73,21,4
15,16,Mustafizur Rahman,Delhi,5,5,7.3,60,21,4
16,17,Rahul Chahar,Punjab,7,7,7.32,121.05,21,4
17,18,Yuzvendra Chahal,Rajasthan,6,6,7.33,62.5,21,4
18,19,Marco Jansen,Hyderabad,4,4,7.38,0,21,4
19,20,Umesh Yadav,Kolkata,7,7,7.39,173.91,21,4
20,21,Nathan Ellis,Punjab,1,1,7.5,0,21,4
21,22,Jasprit Bumrah,Mumbai,7,7,7.52,0,21,4
22,23,Ravichandran Ashwin,Rajasthan,6,6,7.54,114.71,21,4
23,24,Axar Patel,Delhi,6,6,7.57,185.71,21,4
24,25,Hardik Pandya,Gujarat,5,5,7.57,136.53,21,4
