,Pos,Player,Team,Matches,Innings,Runs,Fifties,Highest Score,Day,Month
0,1,David Warner,Delhi,4,4,191,3,66,21,4
1,2,Liam Livingstone,Punjab,7,7,226,3,64,21,4
2,3,Jos Buttler,Rajasthan,6,6,375,2,103,21,4
3,4,Faf du Plessis,Bangalore,7,7,250,2,96,21,4
4,5,Shubman Gill,Gujarat,6,6,200,2,96,21,4
5,6,Shivam Dube,Chennai,7,7,239,2,95,21,4
6,7,Robin Uthappa,Chennai,7,7,227,2,88,21,4
7,8,Hardik Pandya,Gujarat,5,5,228,2,87,21,4
8,9,Shreyas Iyer,Kolkata,7,7,236,2,85,21,4
9,10,Ishan Kishan,Mumbai,7,7,191,2,81,21,4
10,11,Quinton de Kock,Lucknow,7,7,215,2,80,21,4
11,12,Aiden Markram,Hyderabad,6,5,190,2,68,21,4
12,13,Suryakumar Yadav,Mumbai,5,5,232,2,68,21,4
13,14,Prithvi Shaw,Delhi,6,6,217,2,61,21,4
14,15,Tilak Varma,Mumbai,7,7,234,2,61,21,4
15,16,Deepak Hooda,Lucknow,7,7,183,2,55,21,4
16,17,Lokesh Rahul,Lucknow,7,7,265,1,103,21,4
17,18,David Miller,Gujarat,6,6,193,1,94,21,4
18,19,Abhishek Sharma,Hyderabad,6,6,173,1,75,21,4
19,20,Ruturaj Gaikwad,Chennai,7,7,108,1,73,21,4
20,21,Rahul Tripathi,Hyderabad,6,6,205,1,71,21,4
21,22,Andre Russell,Kolkata,7,6,179,1,70,21,4
22,23,Shikhar Dhawan,Punjab,7,7,214,1,70,21,4
23,24,Anuj Rawat,Bangalore,7,7,129,1,66,21,4
24,25,Dinesh Karthik,Bangalore,7,7,210,1,66,21,4
