,Pos,Team,Plyd,Won,Lost,Tied,NRR,Points,Day,Month
0,1,Gujarat Titans (GT),6,5,1,0,+0.395,10,21,4
1,2,Royal Challengers Bangalore (RCB),7,5,2,0,+0.251,10,21,4
2,3,Rajasthan Royals (RR),6,4,2,0,+0.380,8,21,4
3,4,Lucknow Super Giants (LSG),7,4,3,0,+0.124,8,21,4
4,5,Sunrisers Hyderabad (SRH),6,4,2,0,-0.077,8,21,4
5,6,Delhi Capitals (DC),6,3,3,0,+0.942,6,21,4
6,7,Kolkata Knight Riders (KKR),7,3,4,0,+0.160,6,21,4
7,8,Punjab Kings (PBKS),7,3,4,0,-0.562,6,21,4
8,9,Chennai Super Kings (CSK),7,2,5,0,-0.534,4,21,4
9,10,Mumbai Indians (MI),7,0,7,0,-0.892,0,21,4
